ProviderStatusGroup,SanctionCount,LocationCount,ProviderTypeIdName,PrimaryPracticeStateIdName,Email1Domain,Email1Root,Email1AddressBounced,PracticeStateCount,ProviderAgeNearestDecade
Registered,0,,MD,FL,gmail.com,com,0,,40
Registered,0,,MD,AR,yahoo.com,com,0,,40
Registered,0,,MD,IL,icloud.com,com,0,,30
Registered,0,,MD,NH,hitchcock.org,org,0,,50
Registered,0,,APN,GA,gmail.com,com,0,,30
Registered,0,,APN,NJ,rwjbh.org,org,0,,40
Registered,0,,MD,NM,gmail.com,com,0,,30
Registered,0,,DDS,VA,msn.com,com,0,,70
Registered,0,,DDS,VA,yahoo.com,com,0,,50
Registered,0,,DDS,VA,yahoo.com,com,0,,50
Registered,0,,SLP,WI,cesa2.org,org,0,,40
Registered,0,,MD,CA,,,,,50
Registered,0,,MD,CA,me.com,com,0,,50
Registered,0,,OT,OH,rehabdynamics.com,com,0,,40
Registered,0,,MD,MA,hhsi.us,us,0,,40
Registered,0,,CSW,NY,institute2000.org,org,0,,60
Registered,0,,PT,GA,tenderones.com,com,0,,40
Registered,0,,PC,GA,gmail.com,com,0,,70
Registered,0,,SLP,WA,mosaicrehab.com,com,0,,40
Registered,0,,PT,CA,baysport.com,com,0,,60
Registered,0,,MD,CA,rrmg.com,com,1,,50
Registered,0,,NP,CO,aol.com,com,0,,80
Registered,0,,MD,VA,hotmail.com,com,0,,40
Registered,0,,PC,ME,me.com,com,0,,50
Registered,0,,MD,TX,amapath.com,com,0,,50
Registered,0,,MD,KY,yahoo.com,com,1,,40
Registered,0,,CSW,CT,cfapress.org,org,1,,40
Registered,4,,DMD,CT,gmail.com,com,0,,70
Registered,0,,MD,NC,,,,,40
Registered,0,,PA,CA,gmail.com,com,0,,40
Registered,0,,MD,CA,sonic.net,net,0,,40
Registered,0,,CRNA,MD,Anesthesiallc.com,com,0,,50
Registered,0,,CSW,CT,hhchealth.org,org,1,,
Registered,0,,Other,OH,MEDAC.COM,COM,1,,30
Registered,0,,PT,CA,verizon.net,net,0,,50
Registered,0,,CSW,CA,yahoo.com,com,0,,40
Registered,0,1,MD,OH,ketteringhealth.org,org,0,1,40
Registered,0,,NP,CT,ppct.org,org,0,,40
Registered,0,,NP,TN,mphci.com,com,0,,80
Registered,2,5,MD,CO,gmail.com,com,0,5,50
Registered,0,1,NP,NC,yahoo.com,com,0,1,40
Registered,0,1,DDS,CT,gmail.com,com,0,1,50
Registered,0,2,NP,CA,gmail.com,com,0,2,40
Registered,0,1,DO,SC,,,,1,30
Registered,0,1,ADC,CT,aptfoundation.org,org,0,1,50
Registered,0,1,CSW,CO,hotmail.com,com,0,1,50
Registered,0,3,PC,CO,yahoo.com,com,0,3,50
Registered,0,2,PC,ME,gmail.com,com,0,2,60
Registered,0,1,SLP,OH,schaefer-edu.com,com,0,1,30
Registered,0,2,OT,CA,mhmrtc.org,org,0,2,40
Registered,0,1,CSW,CT,nuevodiafw.com,com,0,1,50
Registered,0,,DDS,VA,gmail.com,com,0,,60
Registered,0,1,MD,WV,camc.org,org,0,1,40
Registered,0,1,MD,LA,lsuhsc.edu,edu,1,1,60
Registered,0,1,DO,CA,sbcglobal.net,net,0,1,40
Registered,0,4,DO,NY,symplr.com,com,0,4,40
Registered,0,1,PA,NV,optum.com,com,0,1,40
Registered,0,4,PT,WI,carecloud.com,com,1,4,60
Registered,0,2,APN,FL,nfmc.org,org,1,2,40
Registered,0,3,NMW,FL,gmail.com,com,0,3,40
Registered,0,,Other,AR,gmail.com,com,0,,40
Registered,0,2,NP,NY,symplr.com,com,0,2,30
Registered,0,1,PT,UT,springdell.org,org,0,1,40
Registered,0,2,MD,MO,getixhealth.com,com,0,2,30
Registered,0,1,PA,CA,carbonhealth.com,com,0,1,40
Registered,0,1,MD,IL,medicine.bsd.uchicago.edu,edu,0,1,40
Registered,0,1,PA,SC,hcahealthcare.com,com,0,1,30
Registered,0,2,NP,GA,veritascollaborative.com,com,0,2,30
Registered,0,2,NP,NY,nyu.edu,edu,0,2,30
Registered,0,1,MFT,CT,chc1.com,com,1,1,40
Registered,0,1,ABA,CT,seedautismcenter.com,com,0,1,40
Registered,0,1,CSW,OH,tasalli.us,us,0,1,40
Registered,0,2,CSW,CO,gmail.com,com,0,2,40
Registered,0,1,PC,NY,headway.co,co,0,1,30
Registered,0,1,PC,ME,yahoo.com,com,0,1,50
Registered,0,1,AUD,CA,gmail.com,com,0,1,30
Registered,0,1,APN,CA,caremore.com,com,0,1,40
Registered,0,1,MFT,CA,gmail.com,com,0,1,50
Registered,0,1,SLP,KY,gmail.com,com,0,1,50
Registered,0,1,MFT,CA,fresno.gov,gov,0,1,60
Registered,0,1,MD,SC,integratedmp.com,com,0,1,60
Registered,0,2,PT,CT,hotmail.com,com,0,2,70
Registered,0,1,CP,VA,gmail.com,com,0,1,30
Registered,0,1,NP,CA,caremore.com,com,0,1,30
Registered,0,1,MD,CA,csmns.org,org,0,1,40
Registered,0,1,ABA,GA,kadiant.com,com,0,1,40
Registered,0,1,MD,VA,gmail.com,com,0,1,40
Registered,0,1,CRNA,KY,kdmc.kdhs.us,us,1,1,40
Registered,0,1,NP,ND,hotmail.com,com,0,1,50
Registered,0,11,PT,TX,alumni.baylor.edu,edu,0,11,40
Registered,0,1,MD,CA,chla.usc.edu,edu,0,1,30
Registered,0,1,MD,TX,protonmail.com,com,0,1,60
Registered,0,1,PC,CT,nafi.com,com,0,1,30
Registered,0,1,MD,CA,shcr.com,com,0,1,30
